lastTicketingDate,numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Base Price,Grand Total Price,Branded Fare Labels,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,First flight departure,Second flight departure,Third flight departure,First flight arrival,Second flight arrival,Third flight arrival,Meal Option,Flight depature date,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
2024-05-19,9,FI,26.58333333333333,1,226.0,431.17,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,3.25, KEF,6.166666666666667,No layover,0,22:35:00,17:00:00,,23:50:00,19:10:00,,ALCOHOLIC DRINK,2024-06-17,Evening,Evening,Monday,Weekday,6.066502443890595
2024-05-19,9,TP,13.333333333333334,1,267.0,434.28,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,3.8333333333333335, LIS,8.0,No layover,0,12:45:00,17:05:00,,15:35:00,20:05:00,,MEAL 1,2024-06-17,Afternoon,Evening,Monday,Weekday,6.0736894873636516
2024-05-19,9,TP,20.08333333333333,1,267.0,434.28,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,3.9166666666666665, LIS,8.0,No layover,0,06:00:00,17:05:00,,08:55:00,20:05:00,,MEAL 1,2024-06-17,Morning,Evening,Monday,Weekday,6.0736894873636516
2024-05-19,9,TP,32.416666666666664,1,267.0,439.66,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,3.9166666666666665, LIS,8.0,No layover,0,17:40:00,17:05:00,,20:35:00,20:05:00,,MEAL 1,2024-06-17,Afternoon,Evening,Monday,Weekday,6.086001700931971
2024-05-19,1,S4,19.58333333333333,2,191.0,448.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,06:00:00,12:35:00,17:30:00,08:55:00,14:05:00,19:35:00,MEAL,2024-06-17,Morning,Evening,Monday,Weekday,6.105351112485242
2024-05-19,1,S4,19.58333333333333,2,191.0,448.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,06:00:00,14:10:00,17:30:00,08:55:00,15:40:00,19:35:00,MEAL,2024-06-17,Morning,Evening,Monday,Weekday,6.105351112485242
2024-05-19,1,S4,31.916666666666668,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,17:40:00,06:00:00,17:30:00,20:35:00,07:30:00,19:35:00,MEAL,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
2024-05-19,1,S4,31.916666666666668,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,17:40:00,12:35:00,17:30:00,20:35:00,14:05:00,19:35:00,MEAL,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
2024-05-19,1,S4,31.916666666666668,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,17:40:00,14:10:00,17:30:00,20:35:00,15:40:00,19:35:00,MEAL,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
2024-05-19,1,S4,36.833333333333336,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,12:45:00,06:00:00,17:30:00,15:35:00,07:30:00,19:35:00,MEAL,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
2024-05-19,1,S4,36.833333333333336,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,12:45:00,12:35:00,17:30:00,15:35:00,14:05:00,19:35:00,MEAL,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
2024-05-19,1,S4,36.833333333333336,2,203.0,460.25,BASIC,1,PRE PAID BAGGAGE,True,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,12:45:00,14:10:00,17:30:00,15:35:00,15:40:00,19:35:00,MEAL,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
2024-05-20,1,AY,13.083333333333334,1,251.0,465.92,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.083333333333333, LGW,8.0,No layover,0,11:00:00,15:05:00,,12:05:00,18:05:00,,MEAL AND BEVERAGE,2024-06-17,Morning,Evening,Monday,Weekday,6.1440139455682665
2024-05-20,1,AY,26.75,1,251.0,465.92,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LGW,8.0,No layover,0,21:20:00,15:05:00,,22:20:00,18:05:00,,MEAL AND BEVERAGE,2024-06-17,Evening,Evening,Monday,Weekday,6.1440139455682665
2024-05-20,1,AY,31.5,1,251.0,465.92,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LGW,8.0,No layover,0,16:35:00,15:05:00,,17:35:00,18:05:00,,MEAL AND BEVERAGE,2024-06-17,Afternoon,Evening,Monday,Weekday,6.1440139455682665
2024-05-20,9,AY,29.83333333333333,1,251.0,465.92,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LGW,8.0,No layover,0,18:15:00,15:05:00,,19:15:00,18:05:00,,MEAL AND BEVERAGE,2024-06-17,Evening,Evening,Monday,Weekday,6.1440139455682665
2024-05-20,9,AY,11.833333333333334,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,No layover,0,13:15:00,17:20:00,,15:45:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167306825304179
2024-05-20,9,AY,12.666666666666666,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,No layover,0,12:25:00,17:20:00,,14:55:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167306825304179
2024-05-20,9,AY,16.5,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,No layover,0,08:35:00,17:20:00,,11:05:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17,Morning,Evening,Monday,Weekday,6.167306825304179
2024-05-20,9,AY,18.33333333333333,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,No layover,0,06:45:00,17:20:00,,09:15:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17,Morning,Evening,Monday,Weekday,6.167306825304179
2024-05-20,9,AY,29.83333333333333,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5833333333333337, HEL,8.75,No layover,0,19:15:00,17:20:00,,21:50:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17,Evening,Evening,Monday,Weekday,6.167306825304179
2024-05-20,9,AY,32.083333333333336,1,251.0,476.9,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,1.5, HEL,8.75,No layover,0,17:00:00,17:20:00,,19:30:00,19:05:00,,MEAL AND BEVERAGE,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167306825304179
2024-05-20,1,AY,11.166666666666666,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.083333333333333, LHR,7.833333333333333,No layover,0,11:00:00,13:20:00,,12:05:00,16:10:00,,MEAL AND BEVERAGE,2024-06-17,Morning,Afternoon,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,11.333333333333334,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.916666666666667,No layover,0,13:55:00,16:20:00,,14:55:00,19:15:00,,MEAL AND BEVERAGE,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,13.166666666666666,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,8.0,No layover,0,13:55:00,18:05:00,,14:55:00,21:05:00,,MEAL AND BEVERAGE,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,14.25,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.083333333333333, LHR,7.916666666666667,No layover,0,11:00:00,16:20:00,,12:05:00,19:15:00,,MEAL AND BEVERAGE,2024-06-17,Morning,Evening,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,16.083333333333332,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.083333333333333, LHR,8.0,No layover,0,11:00:00,18:05:00,,12:05:00,21:05:00,,MEAL AND BEVERAGE,2024-06-17,Morning,Evening,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,19.75,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.75,No layover,0,21:20:00,08:20:00,,22:20:00,11:05:00,,MEAL AND BEVERAGE,2024-06-17,Evening,Morning,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,23.08333333333333,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.75,No layover,0,21:20:00,11:40:00,,22:20:00,14:25:00,,MEAL AND BEVERAGE,2024-06-17,Evening,Afternoon,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,24.5,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.75,No layover,0,16:35:00,08:20:00,,17:35:00,11:05:00,,MEAL AND BEVERAGE,2024-06-17,Afternoon,Morning,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,11.333333333333334,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.833333333333333,No layover,0,16:35:00,19:05:00,,17:35:00,21:55:00,,MEAL AND BEVERAGE,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,12.5,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.083333333333333, LHR,7.833333333333333,No layover,0,11:00:00,14:40:00,,12:05:00,17:30:00,,MEAL AND BEVERAGE,2024-06-17,Morning,Afternoon,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,14.0,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.833333333333333,No layover,0,13:55:00,19:05:00,,14:55:00,21:55:00,,MEAL AND BEVERAGE,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167851864413745
2024-05-20,1,AY,16.916666666666668,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.083333333333333, LHR,7.833333333333333,No layover,0,11:00:00,19:05:00,,12:05:00,21:55:00,,MEAL AND BEVERAGE,2024-06-17,Morning,Evening,Monday,Weekday,6.167851864413745
2024-05-20,9,AY,22.83333333333333,1,251.0,477.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.75,No layover,0,18:15:00,08:20:00,,19:15:00,11:05:00,,MEAL AND BEVERAGE,2024-06-17,Evening,Morning,Monday,Weekday,6.167851864413745
2024-05-19,9,FI,11.166666666666666,1,278.0,481.83,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,3.333333333333333, KEF,6.166666666666667,No layover,0,14:00:00,17:00:00,,15:20:00,19:10:00,,ALCOHOLIC DRINK,2024-06-17,Afternoon,Evening,Monday,Weekday,6.1775913547429155
2024-05-19,9,FI,11.333333333333334,1,278.0,481.83,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,3.25, KEF,6.333333333333333,No layover,0,16:50:00,19:50:00,,18:05:00,22:10:00,,ALCOHOLIC DRINK,2024-06-17,Afternoon,Evening,Monday,Weekday,6.1775913547429155
2024-05-19,9,FI,14.166666666666666,1,278.0,481.83,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,3.333333333333333, KEF,6.333333333333333,No layover,0,14:00:00,19:50:00,,15:20:00,22:10:00,,ALCOHOLIC DRINK,2024-06-17,Afternoon,Evening,Monday,Weekday,6.1775913547429155
2024-05-19,9,FI,29.58333333333333,1,278.0,483.17,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,3.25, KEF,6.333333333333333,No layover,0,22:35:00,19:50:00,,23:50:00,22:10:00,,ALCOHOLIC DRINK,2024-06-17,Evening,Evening,Monday,Weekday,6.180368558600469
2024-05-19,9,FI,32.333333333333336,1,278.0,483.17,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,3.25, KEF,6.166666666666667,No layover,0,16:50:00,17:00:00,,18:05:00,19:10:00,,ALCOHOLIC DRINK,2024-06-17,Afternoon,Evening,Monday,Weekday,6.180368558600469
2024-05-20,4,IB,30.166666666666668,1,266.0,491.2,BASIC,0,FIRST CHECKED BAG,True,3.0, BCN,8.916666666666666,No layover,0,21:30:00,18:45:00,,00:30:00,21:40:00,,MEAL,2024-06-17,Evening,Evening,Monday,Weekday,6.1968513768329325
2024-05-20,9,IB,24.83333333333333,1,266.0,495.03,BASIC,0,FIRST CHECKED BAG,True,3.1666666666666665, MAD,8.25,No layover,0,19:50:00,12:25:00,,23:00:00,14:40:00,,MEAL,2024-06-17,Evening,Afternoon,Monday,Weekday,6.204618366792824
2024-05-20,9,IB,29.08333333333333,1,266.0,495.03,BASIC,0,FIRST CHECKED BAG,True,3.1666666666666665, MAD,8.583333333333334,No layover,0,19:50:00,16:20:00,,23:00:00,18:55:00,,MEAL,2024-06-17,Evening,Evening,Monday,Weekday,6.204618366792824
2024-05-21,1,LO,15.666666666666666,1,349.0,549.56,ECONOMY NO BAG,0,1 ST CHECKED BAG UP TO 23KG,True,1.4166666666666667, WAW,9.5,No layover,0,10:40:00,16:50:00,,12:05:00,20:20:00,,HOT DINNER,2024-06-17,Morning,Evening,Monday,Weekday,6.309117958055747
2024-05-21,9,LO,19.33333333333333,1,349.0,549.56,ECONOMY NO BAG,0,1 ST CHECKED BAG UP TO 23KG,True,1.4166666666666667, WAW,9.5,No layover,0,07:00:00,16:50:00,,08:25:00,20:20:00,,HOT DINNER,2024-06-17,Morning,Evening,Monday,Weekday,6.309117958055747
2024-06-17,7,JU,32.25,1,465.0,555.74,,2,,,2.1666666666666665, BEG,10.0,No layover,0,09:35:00,07:50:00,,11:45:00,11:50:00,,,2024-06-17,Morning,Morning,Monday,Weekday,6.320300558980213
2024-05-21,9,LO,26.33333333333333,1,429.0,629.56,ECONOMY NO BAG,0,1 ST CHECKED BAG UP TO 23KG,True,1.4166666666666667, WAW,9.333333333333334,No layover,0,19:25:00,12:25:00,,20:50:00,15:45:00,,HOT DINNER,2024-06-17,Evening,Afternoon,Monday,Weekday,6.4450211626834
2024-05-20,1,AY,21.166666666666668,1,430.0,656.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.75,No layover,0,21:20:00,09:45:00,,22:20:00,12:30:00,,MEAL AND BEVERAGE,2024-06-17,Evening,Afternoon,Monday,Weekday,6.486404661643749
2024-05-20,4,AY,24.25,1,430.0,656.16,ECONOMY LIGHT,0,CHECKED BAGGAGE UP TO 23KGS,True,2.0, LHR,7.75,No layover,0,18:15:00,09:45:00,,19:15:00,12:30:00,,MEAL AND BEVERAGE,2024-06-17,Evening,Afternoon,Monday,Weekday,6.486404661643749
2024-05-20,4,IB,18.0,1,445.0,662.45,BASIC,0,FIRST CHECKED BAG,True,3.0, BCN,8.916666666666666,No layover,0,09:40:00,18:45:00,,12:40:00,21:40:00,,MEAL,2024-06-17,Morning,Evening,Monday,Weekday,6.495945083314132
