numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Grand Total Price,Branded Fare Labels,Included Checked Bags Quantities,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Flight depature date,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
9,FI,26.58333333333333,1,431.17,ECONOMY LIGHT,0,3.25, KEF,6.166666666666667,No layover,0.0,2024-06-17,Evening,Evening,Monday,Weekday,6.066502443890595
9,TP,13.333333333333334,1,434.28,DISCOUNT,0,3.8333333333333335, LIS,8.0,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.0736894873636516
9,TP,20.08333333333333,1,434.28,DISCOUNT,0,3.9166666666666665, LIS,8.0,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,6.0736894873636516
9,TP,32.416666666666664,1,439.66,DISCOUNT,0,3.9166666666666665, LIS,8.0,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.086001700931971
1,S4,19.58333333333333,2,448.25,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,2024-06-17,Morning,Evening,Monday,Weekday,6.105351112485242
1,S4,19.58333333333333,2,448.25,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,2024-06-17,Morning,Evening,Monday,Weekday,6.105351112485242
1,S4,31.916666666666668,2,460.25,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,31.916666666666668,2,460.25,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,31.916666666666668,2,460.25,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,36.833333333333336,2,460.25,BASIC,1,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,36.833333333333336,2,460.25,BASIC,1,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,36.833333333333336,2,460.25,BASIC,1,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,2024-06-17,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,AY,13.083333333333334,1,465.92,ECONOMY LIGHT,0,2.083333333333333, LGW,8.0,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,6.1440139455682665
1,AY,26.75,1,465.92,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,2024-06-17,Evening,Evening,Monday,Weekday,6.1440139455682665
1,AY,31.5,1,465.92,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.1440139455682665
9,AY,29.83333333333333,1,465.92,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,2024-06-17,Evening,Evening,Monday,Weekday,6.1440139455682665
9,AY,11.833333333333334,1,476.9,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167306825304179
9,AY,12.666666666666666,1,476.9,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,6.167306825304179
9,AY,16.5,1,476.9,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,6.167306825304179
9,AY,18.33333333333333,1,476.9,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,6.167306825304179
9,AY,29.83333333333333,1,476.9,ECONOMY LIGHT,0,1.5833333333333337, HEL,8.75,No layover,0.0,2024-06-17,Evening,Evening,Monday,Weekday,6.167306825304179
