numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Branded Fare Labels,Included Checked Bags Quantities,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
9,FI,3.280284452996844,1,ECONOMY LIGHT,0,3.25, KEF,6.166666666666667,No layover,0.0,Evening,Evening,Monday,Weekday,6.066502443890595
9,TP,2.5902671654458267,1,DISCOUNT,0,3.8333333333333335, LIS,8.0,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.0736894873636516
9,TP,2.9998902837026544,1,DISCOUNT,0,3.9166666666666665, LIS,8.0,No layover,0.0,Morning,Evening,Monday,Weekday,6.0736894873636516
9,TP,3.478672693830446,1,DISCOUNT,0,3.9166666666666665, LIS,8.0,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.086001700931971
1,S4,2.9746788643561586,2,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,Morning,Evening,Monday,Weekday,6.105351112485242
1,S4,2.9746788643561586,2,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,Morning,Evening,Monday,Weekday,6.105351112485242
1,S4,3.4631283393926457,2,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,3.4631283393926457,2,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,3.4631283393926457,2,BASIC,1,3.9166666666666665, LIS,2.5, PDL,6.083333333333333,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,3.606403232289698,2,BASIC,1,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,3.606403232289698,2,BASIC,1,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,S4,3.606403232289698,2,BASIC,1,3.8333333333333335, LIS,2.5, PDL,6.083333333333333,Afternoon,Evening,Monday,Weekday,6.131769820113187
1,AY,2.571339155560308,1,ECONOMY LIGHT,0,2.083333333333333, LGW,8.0,No layover,0.0,Morning,Evening,Monday,Weekday,6.1440139455682665
1,AY,3.286534473342015,1,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,Evening,Evening,Monday,Weekday,6.1440139455682665
1,AY,3.449987545831587,1,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.1440139455682665
9,AY,3.3956263366127,1,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,Evening,Evening,Monday,Weekday,6.1440139455682665
9,AY,2.4709204078132605,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.167306825304179
9,AY,2.538973871058276,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.167306825304179
9,AY,2.803360380906535,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Morning,Evening,Monday,Weekday,6.167306825304179
9,AY,2.908720896564361,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Morning,Evening,Monday,Weekday,6.167306825304179
9,AY,3.3956263366127,1,ECONOMY LIGHT,0,1.5833333333333337, HEL,8.75,No layover,0.0,Evening,Evening,Monday,Weekday,6.167306825304179
9,AY,3.468336684499784,1,ECONOMY LIGHT,0,1.5, HEL,8.75,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.167306825304179
1,AY,2.412933150162911,1,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,Morning,Afternoon,Monday,Weekday,6.167851864413745
1,AY,2.4277482359480516,1,ECONOMY LIGHT,0,2.0, LHR,7.916666666666667,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.167851864413745
1,AY,2.5776883832389665,1,ECONOMY LIGHT,0,2.0, LHR,8.0,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.167851864413745
1,AY,2.6567569067146595,1,ECONOMY LIGHT,0,2.083333333333333, LHR,7.916666666666667,No layover,0.0,Morning,Evening,Monday,Weekday,6.167851864413745
1,AY,2.7777835391168852,1,ECONOMY LIGHT,0,2.083333333333333, LHR,8.0,No layover,0.0,Morning,Evening,Monday,Weekday,6.167851864413745
1,AY,2.9831534913471307,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Evening,Morning,Monday,Weekday,6.167851864413745
1,AY,3.139110856399338,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Evening,Afternoon,Monday,Weekday,6.167851864413745
1,AY,3.1986731175506815,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Afternoon,Morning,Monday,Weekday,6.167851864413745
1,AY,2.4277482359480516,1,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.167851864413745
1,AY,2.5257286443082556,1,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,Morning,Afternoon,Monday,Weekday,6.167851864413745
1,AY,2.6390573296152584,1,ECONOMY LIGHT,0,2.0, LHR,7.833333333333333,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.167851864413745
1,AY,2.8282993292537872,1,ECONOMY LIGHT,0,2.083333333333333, LHR,7.833333333333333,No layover,0.0,Morning,Evening,Monday,Weekday,6.167851864413745
9,AY,3.1282214566000697,1,ECONOMY LIGHT,0,2.0, LHR,7.75,No layover,0.0,Evening,Morning,Monday,Weekday,6.167851864413745
9,FI,2.412933150162911,1,ECONOMY LIGHT,0,3.333333333333333, KEF,6.166666666666667,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.1775913547429155
9,FI,2.4277482359480516,1,ECONOMY LIGHT,0,3.25, KEF,6.333333333333333,No layover,0.0,Afternoon,Evening,Monday,Weekday,6.1775913547429155
