Duration,Departure IATACodes,Departure Terminals,Number of Stops,layover durations,Arrival Terminals,Departure Times,Arrival Times,Aircraft,Blacklist
PT1H55M,CPH,2,0,{'CPH': 'PT1H55M'},S,2024-06-21T19:00:00,2024-06-21T19:55:00,7M8,False
PT1H55M,CPH,2,0,{'CPH': 'PT1H55M'},S,2024-06-21T17:25:00,2024-06-21T18:20:00,7M8,False
PT1H55M,CPH,2,0,{'CPH': 'PT1H55M'},S,2024-06-21T15:25:00,2024-06-21T16:20:00,73H,False
PT1H55M,CPH,2,0,{'CPH': 'PT1H55M'},S,2024-06-21T13:55:00,2024-06-21T14:50:00,7M8,False
PT2H20M,CPH,2,0,{'CPH': 'PT2H20M'},S,2024-06-21T07:55:00,2024-06-21T09:15:00,7M8,False
PT5H40M,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T14:35:00, 2024-06-21T17:25:00","2024-06-21T15:45:00, 2024-06-21T19:15:00","73H, 7M8","False, False"
PT13H15M,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T07:00:00, 2024-06-21T17:25:00","2024-06-21T08:10:00, 2024-06-21T19:15:00","7M8, 7M8","False, False"
PT6H25M,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T13:50:00, 2024-06-21T17:25:00","2024-06-21T15:00:00, 2024-06-21T19:15:00","73H, 7M8","False, False"
PT9H55M,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T10:20:00, 2024-06-21T17:25:00","2024-06-21T11:30:00, 2024-06-21T19:15:00","73H, 7M8","False, False"
PT20H45M,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T17:10:00, 2024-06-22T11:05:00","2024-06-21T18:20:00, 2024-06-22T12:55:00","73H, 73H","False, False"
PT6H30M,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T07:00:00, 2024-06-21T10:40:00","2024-06-21T08:10:00, 2024-06-21T12:30:00","7M8, 7M8","False, False"
PT9H15M,"CPH, RIX","3, ",1,"{'CPH': 'PT1H25M', 'RIX': 'PT2H50M'}",", S","2024-06-21T08:15:00, 2024-06-21T15:40:00","2024-06-21T10:40:00, 2024-06-21T16:30:00","319, 223","False, False"
PT13H15M,"CPH, RIX","3, ",1,"{'CPH': 'PT1H25M', 'RIX': 'PT2H50M'}",", S","2024-06-21T20:00:00, 2024-06-22T07:25:00","2024-06-21T22:25:00, 2024-06-22T08:15:00","319, 223","False, False"
PT25H,"CPH, RIX","3, ",1,"{'CPH': 'PT1H25M', 'RIX': 'PT2H50M'}",", S","2024-06-21T08:15:00, 2024-06-22T07:25:00","2024-06-21T10:40:00, 2024-06-22T08:15:00","319, 223","False, False"
PT20H,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T17:55:00, 2024-06-22T11:05:00","2024-06-21T19:05:00, 2024-06-22T12:55:00","73H, 73H","False, False"
PT23H20M,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T14:35:00, 2024-06-22T11:05:00","2024-06-21T15:45:00, 2024-06-22T12:55:00","73H, 73H","False, False"
PT24H5M,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T13:50:00, 2024-06-22T11:05:00","2024-06-21T15:00:00, 2024-06-22T12:55:00","73H, 73H","False, False"
PT27H35M,"CPH, ARN","2, 5",1,"{'CPH': 'PT1H10M', 'ARN': 'PT2H50M'}","5, S","2024-06-21T10:20:00, 2024-06-22T11:05:00","2024-06-21T11:30:00, 2024-06-22T12:55:00","73H, 73H","False, False"
PT8H55M,"CPH, ZRH","2, ",1,"{'CPH': 'PT1H50M', 'ZRH': 'PT1H40M'}",", N","2024-06-21T09:40:00, 2024-06-21T16:55:00","2024-06-21T11:30:00, 2024-06-21T17:35:00","223, 223","False, False"
PT23H5M,"CPH, ZRH","2, ",1,"{'CPH': 'PT1H50M', 'ZRH': 'PT1H45M'}",", N","2024-06-21T19:55:00, 2024-06-22T17:15:00","2024-06-21T21:45:00, 2024-06-22T18:00:00","221, 290","False, False"
PT23H40M,"CPH, ZRH","2, ",1,"{'CPH': 'PT1H45M', 'ZRH': 'PT1H45M'}",", N","2024-06-21T19:20:00, 2024-06-22T17:15:00","2024-06-21T21:05:00, 2024-06-22T18:00:00","E90, 290","False, False"
PT6H,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T12:00:00, 2024-06-21T16:25:00","2024-06-21T13:30:00, 2024-06-21T17:00:00","32N, 320","False, False"
PT8H15M,"CPH, FRA","3, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T09:45:00, 2024-06-21T16:25:00","2024-06-21T11:15:00, 2024-06-21T17:00:00","321, 320","False, False"
PT8H20M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T09:40:00, 2024-06-21T16:25:00","2024-06-21T11:10:00, 2024-06-21T17:00:00","321, 320","False, False"
PT11H25M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T06:35:00, 2024-06-21T16:25:00","2024-06-21T08:05:00, 2024-06-21T17:00:00","32N, 320","False, False"
PT18H10M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H30M'}",", S","2024-06-21T15:30:00, 2024-06-22T07:10:00","2024-06-21T16:40:00, 2024-06-22T08:40:00","73H, 73H","False, False"
PT24H20M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H30M'}",", S","2024-06-21T09:20:00, 2024-06-22T07:10:00","2024-06-21T10:30:00, 2024-06-22T08:40:00","73H, 73H","False, False"
PT16H10M,"CPH, FRA","2, 1",1,"{'CPH': 'PT1H30M', 'FRA': 'PT1H35M'}","1, N","2024-06-21T19:10:00, 2024-06-22T09:45:00","2024-06-21T20:40:00, 2024-06-22T10:20:00","321, 320","False, False"
PT3H55M,"CPH, SVG","2, ",1,"{'CPH': 'PT1H10M', 'SVG': 'PT2H5M'}",", S","2024-06-21T17:40:00, 2024-06-21T19:30:00","2024-06-21T18:50:00, 2024-06-21T20:35:00","73H, 73H","False, False"
PT14H35M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H30M'}",", S","2024-06-21T19:05:00, 2024-06-22T07:10:00","2024-06-21T20:15:00, 2024-06-22T08:40:00","73H, 73H","False, False"
PT4H10M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T17:00:00, 2024-06-21T18:50:00","2024-06-21T18:10:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT10H20M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T10:50:00, 2024-06-21T18:50:00","2024-06-21T12:00:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT14H,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T07:10:00, 2024-06-21T18:50:00","2024-06-21T08:20:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT5H40M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T15:30:00, 2024-06-21T18:50:00","2024-06-21T16:40:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT11H50M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H20M'}",", S","2024-06-21T09:20:00, 2024-06-21T18:50:00","2024-06-21T10:30:00, 2024-06-21T20:10:00","73H, 73H","False, False"
PT19H55M,"CPH, OSL","2, ",1,"{'CPH': 'PT1H10M', 'OSL': 'PT2H30M'}",", S","2024-06-21T15:30:00, 2024-06-22T08:55:00","2024-06-21T16:40:00, 2024-06-22T10:25:00","73H, 73H","False, False"
