id,lastTicketingDate,lastTicketingDateTime,numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Airline,Base Price,Grand Total Price,Currency.1,Total Price.1,Base Price.1,Branded Fares,Branded Fare Labels,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,BRANDED_FARES_description,BRANDED_FARES_isChargeable,BRANDED_FARES_amenityProvider,PRE_RESERVED_SEAT_description,PRE_RESERVED_SEAT_isChargeable,PRE_RESERVED_SEAT_amenityProvider,TRAVEL_SERVICES_description,TRAVEL_SERVICES_isChargeable,TRAVEL_SERVICES_amenityProvider,Origin Airport,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Firt flight departure,Second flight departure,Third flight departure,Firt flight arrival,Second flight arrival,Third flight arrival,Origin airport,1st layover,2nd layover,Branded Fares Lables,Meal Option
1,2024-05-19,2024-05-19,9,FI,PT26H35M,1,FI,226.0,431.17,EUR,431.17,226.0,LIGHT,ECONOMY LIGHT,0,CHECKED BAG UP TO 23KG,True,PREMIUM SEAT,True,BrandedFare,,,,,,,CPH, PT3H15M, KEF, PT6H10M,,,2024-06-17T22:35:00, 2024-06-18T17:00:00,,2024-06-17T23:50:00, 2024-06-18T19:10:00,,CPH, KEF,,LIGHT,ALCOHOLIC DRINK
2,2024-05-19,2024-05-19,9,TP,PT13H20M,1,TP,267.0,434.28,EUR,434.28,267.0,DISCOUNT,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,,,,EXTRA LEG ROOM OR FRONT SEAT,True,BrandedFare,,,,CPH, PT3H50M, LIS, PT8H,,,2024-06-17T12:45:00, 2024-06-17T17:05:00,,2024-06-17T15:35:00, 2024-06-17T20:05:00,,CPH, LIS,,DISCOUNT,MEAL 1
3,2024-05-19,2024-05-19,9,TP,PT20H5M,1,TP,267.0,434.28,EUR,434.28,267.0,DISCOUNT,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,,,,EXTRA LEG ROOM OR FRONT SEAT,True,BrandedFare,,,,CPH, PT3H55M, LIS, PT8H,,,2024-06-17T06:00:00, 2024-06-17T17:05:00,,2024-06-17T08:55:00, 2024-06-17T20:05:00,,CPH, LIS,,DISCOUNT,MEAL 1
4,2024-05-19,2024-05-19,9,TP,PT32H25M,1,TP,267.0,439.66,EUR,439.66,267.0,DISCOUNT,DISCOUNT,0,FIRST BAG UP TO 23KG AND 158CM,True,,,,EXTRA LEG ROOM OR FRONT SEAT,True,BrandedFare,,,,CPH, PT3H55M, LIS, PT8H,,,2024-06-17T17:40:00, 2024-06-18T17:05:00,,2024-06-17T20:35:00, 2024-06-18T20:05:00,,CPH, LIS,,DISCOUNT,MEAL 1
5,2024-05-19,2024-05-19,1,S4,PT19H35M,2,S4,191.0,448.25,EUR,448.25,191.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,BASIC SEAT,True,BrandedFare,,,,,,,CPH, PT3H55M, LIS, PT2H30M, PDL, PT6H5M,2024-06-17T06:00:00, 2024-06-17T12:35:00, 2024-06-17T17:30:00,2024-06-17T08:55:00, 2024-06-17T14:05:00, 2024-06-17T19:35:00,CPH, LIS, PDL,BSC,MEAL
6,2024-05-19,2024-05-19,1,S4,PT19H35M,2,S4,191.0,448.25,EUR,448.25,191.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,BASIC SEAT,True,BrandedFare,,,,,,,CPH, PT3H55M, LIS, PT2H30M, PDL, PT6H5M,2024-06-17T06:00:00, 2024-06-17T14:10:00, 2024-06-17T17:30:00,2024-06-17T08:55:00, 2024-06-17T15:40:00, 2024-06-17T19:35:00,CPH, LIS, PDL,BSC,MEAL
7,2024-05-19,2024-05-19,1,S4,PT31H55M,2,S4,203.0,460.25,EUR,460.25,203.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,BASIC SEAT,True,BrandedFare,,,,,,,CPH, PT3H55M, LIS, PT2H30M, PDL, PT6H5M,2024-06-17T17:40:00, 2024-06-18T06:00:00, 2024-06-18T17:30:00,2024-06-17T20:35:00, 2024-06-18T07:30:00, 2024-06-18T19:35:00,CPH, LIS, PDL,BSC,MEAL
8,2024-05-19,2024-05-19,1,S4,PT31H55M,2,S4,203.0,460.25,EUR,460.25,203.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,BASIC SEAT,True,BrandedFare,,,,,,,CPH, PT3H55M, LIS, PT2H30M, PDL, PT6H5M,2024-06-17T17:40:00, 2024-06-18T12:35:00, 2024-06-18T17:30:00,2024-06-17T20:35:00, 2024-06-18T14:05:00, 2024-06-18T19:35:00,CPH, LIS, PDL,BSC,MEAL
9,2024-05-19,2024-05-19,1,S4,PT31H55M,2,S4,203.0,460.25,EUR,460.25,203.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,BASIC SEAT,True,BrandedFare,,,,,,,CPH, PT3H55M, LIS, PT2H30M, PDL, PT6H5M,2024-06-17T17:40:00, 2024-06-18T14:10:00, 2024-06-18T17:30:00,2024-06-17T20:35:00, 2024-06-18T15:40:00, 2024-06-18T19:35:00,CPH, LIS, PDL,BSC,MEAL
10,2024-05-19,2024-05-19,1,S4,PT36H50M,2,S4,203.0,460.25,EUR,460.25,203.0,BSC,BASIC,1,PRE PAID BAGGAGE,True,BASIC SEAT,True,BrandedFare,,,,,,,CPH, PT3H50M, LIS, PT2H30M, PDL, PT6H5M,2024-06-17T12:45:00, 2024-06-18T06:00:00, 2024-06-18T17:30:00,2024-06-17T15:35:00, 2024-06-18T07:30:00, 2024-06-18T19:35:00,CPH, LIS, PDL,BSC,MEAL
