id,type,source,instantTicketingRequired,nonHomogeneous,oneWay,lastTicketingDate,lastTicketingDateTime,numberOfBookableSeats,validatingAirlineCodes,Duration,Departure IATACodes,Departure Terminals,Number of Stops,layover durations,Arrival Terminals,Departure Times,Arrival Times,Airline,Blacklist,Currency,Total Price,Base Price,Fee Amount,Grand Total Price,Additional fees,Fee Type,Traveler ID,Fare Option,Traveler Type,Segment IDs,Cabins,Fare Bases,Branded Fares,Branded Fare Labels,Classes,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,BAGGAGE_amenityProvider,MEAL_description,MEAL_isChargeable,MEAL_amenityProvider,ENTERTAINMENT_description,ENTERTAINMENT_isChargeable,ENTERTAINMENT_amenityProvider,BRANDED_FARES_description,BRANDED_FARES_isChargeable,BRANDED_FARES_amenityProvider,PRE_RESERVED_SEAT_description,PRE_RESERVED_SEAT_isChargeable,PRE_RESERVED_SEAT_amenityProvider,TRAVEL_SERVICES_description,TRAVEL_SERVICES_isChargeable,TRAVEL_SERVICES_amenityProvider
1.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,9.0,"[""FI""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,9.0,"[""TP""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,9.0,"[""TP""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,9.0,"[""TP""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,1.0,"[""S4""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,1.0,"[""S4""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,1.0,"[""S4""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,1.0,"[""S4""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,1.0,"[""S4""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,flight-offer,GDS,0.0,0.0,0.0,2024-05-19,2024-05-19,1.0,"[""S4""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
