Duration,Departure IATACodes,Departure Terminals,Number of Stops,layover durations,Arrival Terminals,Departure Times,Arrival Times,Airline,Blacklist
PT26H35M,"CPH, KEF","3, ",1,"{'CPH': 'PT3H15M', 'KEF': 'PT6H10M'}",", 7","2024-06-17T22:35:00, 2024-06-18T17:00:00","2024-06-17T23:50:00, 2024-06-18T19:10:00","FI, FI","False, False"
PT13H20M,"CPH, LIS","3, 1",1,"{'CPH': 'PT3H50M', 'LIS': 'PT8H'}","1, 1","2024-06-17T12:45:00, 2024-06-17T17:05:00","2024-06-17T15:35:00, 2024-06-17T20:05:00","TP, TP","False, False"
PT20H5M,"CPH, LIS","3, 1",1,"{'CPH': 'PT3H55M', 'LIS': 'PT8H'}","1, 1","2024-06-17T06:00:00, 2024-06-17T17:05:00","2024-06-17T08:55:00, 2024-06-17T20:05:00","TP, TP","False, False"
PT32H25M,"CPH, LIS","3, 1",1,"{'CPH': 'PT3H55M', 'LIS': 'PT8H'}","1, 1","2024-06-17T17:40:00, 2024-06-18T17:05:00","2024-06-17T20:35:00, 2024-06-18T20:05:00","TP, TP","False, False"
PT19H35M,"CPH, LIS, PDL","2, 1, ",2,"{'CPH': 'PT3H55M', 'LIS': 'PT2H30M', 'PDL': 'PT6H5M'}","1, , 1","2024-06-17T06:00:00, 2024-06-17T12:35:00, 2024-06-17T17:30:00","2024-06-17T08:55:00, 2024-06-17T14:05:00, 2024-06-17T19:35:00","S4, S4, S4","False, False, False"
PT19H35M,"CPH, LIS, PDL","2, 1, ",2,"{'CPH': 'PT3H55M', 'LIS': 'PT2H30M', 'PDL': 'PT6H5M'}","1, , 1","2024-06-17T06:00:00, 2024-06-17T14:10:00, 2024-06-17T17:30:00","2024-06-17T08:55:00, 2024-06-17T15:40:00, 2024-06-17T19:35:00","S4, S4, S4","False, False, False"
PT31H55M,"CPH, LIS, PDL","2, 1, ",2,"{'CPH': 'PT3H55M', 'LIS': 'PT2H30M', 'PDL': 'PT6H5M'}","1, , 1","2024-06-17T17:40:00, 2024-06-18T06:00:00, 2024-06-18T17:30:00","2024-06-17T20:35:00, 2024-06-18T07:30:00, 2024-06-18T19:35:00","S4, S4, S4","False, False, False"
PT31H55M,"CPH, LIS, PDL","2, 1, ",2,"{'CPH': 'PT3H55M', 'LIS': 'PT2H30M', 'PDL': 'PT6H5M'}","1, , 1","2024-06-17T17:40:00, 2024-06-18T12:35:00, 2024-06-18T17:30:00","2024-06-17T20:35:00, 2024-06-18T14:05:00, 2024-06-18T19:35:00","S4, S4, S4","False, False, False"
PT31H55M,"CPH, LIS, PDL","2, 1, ",2,"{'CPH': 'PT3H55M', 'LIS': 'PT2H30M', 'PDL': 'PT6H5M'}","1, , 1","2024-06-17T17:40:00, 2024-06-18T14:10:00, 2024-06-18T17:30:00","2024-06-17T20:35:00, 2024-06-18T15:40:00, 2024-06-18T19:35:00","S4, S4, S4","False, False, False"
PT36H50M,"CPH, LIS, PDL","2, 1, ",2,"{'CPH': 'PT3H50M', 'LIS': 'PT2H30M', 'PDL': 'PT6H5M'}","1, , 1","2024-06-17T12:45:00, 2024-06-18T06:00:00, 2024-06-18T17:30:00","2024-06-17T15:35:00, 2024-06-18T07:30:00, 2024-06-18T19:35:00","S4, S4, S4","False, False, False"
PT36H50M,"CPH, LIS, PDL","2, 1, ",2,"{'CPH': 'PT3H50M', 'LIS': 'PT2H30M', 'PDL': 'PT6H5M'}","1, , 1","2024-06-17T12:45:00, 2024-06-18T12:35:00, 2024-06-18T17:30:00","2024-06-17T15:35:00, 2024-06-18T14:05:00, 2024-06-18T19:35:00","S4, S4, S4","False, False, False"
PT36H50M,"CPH, LIS, PDL","2, 1, ",2,"{'CPH': 'PT3H50M', 'LIS': 'PT2H30M', 'PDL': 'PT6H5M'}","1, , 1","2024-06-17T12:45:00, 2024-06-18T14:10:00, 2024-06-18T17:30:00","2024-06-17T15:35:00, 2024-06-18T15:40:00, 2024-06-18T19:35:00","S4, S4, S4","False, False, False"
PT13H5M,"CPH, LGW","2, S",1,"{'CPH': 'PT2H5M', 'LGW': 'PT8H'}","5, 8","2024-06-17T11:00:00, 2024-06-17T15:05:00","2024-06-17T12:05:00, 2024-06-17T18:05:00","AY, AY","False, False"
PT26H45M,"CPH, LGW","2, S",1,"{'CPH': 'PT2H', 'LGW': 'PT8H'}","5, 8","2024-06-17T21:20:00, 2024-06-18T15:05:00","2024-06-17T22:20:00, 2024-06-18T18:05:00","AY, AY","False, False"
PT31H30M,"CPH, LGW","2, S",1,"{'CPH': 'PT2H', 'LGW': 'PT8H'}","5, 8","2024-06-17T16:35:00, 2024-06-18T15:05:00","2024-06-17T17:35:00, 2024-06-18T18:05:00","AY, AY","False, False"
PT29H50M,"CPH, LGW","2, S",1,"{'CPH': 'PT2H', 'LGW': 'PT8H'}","5, 8","2024-06-17T18:15:00, 2024-06-18T15:05:00","2024-06-17T19:15:00, 2024-06-18T18:05:00","AY, AY","False, False"
PT11H50M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-17T13:15:00, 2024-06-17T17:20:00","2024-06-17T15:45:00, 2024-06-17T19:05:00","AY, AY","False, False"
PT12H40M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-17T12:25:00, 2024-06-17T17:20:00","2024-06-17T14:55:00, 2024-06-17T19:05:00","AY, AY","False, False"
PT16H30M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-17T08:35:00, 2024-06-17T17:20:00","2024-06-17T11:05:00, 2024-06-17T19:05:00","AY, AY","False, False"
PT18H20M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-17T06:45:00, 2024-06-17T17:20:00","2024-06-17T09:15:00, 2024-06-17T19:05:00","AY, AY","False, False"
PT29H50M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H35M', 'HEL': 'PT8H45M'}",", 8","2024-06-17T19:15:00, 2024-06-18T17:20:00","2024-06-17T21:50:00, 2024-06-18T19:05:00","AY, AY","False, False"
PT32H5M,"CPH, HEL","2, ",1,"{'CPH': 'PT1H30M', 'HEL': 'PT8H45M'}",", 8","2024-06-17T17:00:00, 2024-06-18T17:20:00","2024-06-17T19:30:00, 2024-06-18T19:05:00","AY, AY","False, False"
PT11H10M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H5M', 'LHR': 'PT7H50M'}","5, 8","2024-06-17T11:00:00, 2024-06-17T13:20:00","2024-06-17T12:05:00, 2024-06-17T16:10:00","AY, AY","False, False"
PT11H20M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT7H55M'}","5, 8","2024-06-17T13:55:00, 2024-06-17T16:20:00","2024-06-17T14:55:00, 2024-06-17T19:15:00","AY, AY","False, False"
PT13H10M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H', 'LHR': 'PT8H'}","5, 8","2024-06-17T13:55:00, 2024-06-17T18:05:00","2024-06-17T14:55:00, 2024-06-17T21:05:00","AY, AY","False, False"
PT14H15M,"CPH, LHR","2, 5",1,"{'CPH': 'PT2H5M', 'LHR': 'PT7H55M'}","5, 8","2024-06-17T11:00:00, 2024-06-17T16:20:00","2024-06-17T12:05:00, 2024-06-17T19:15:00","AY, AY","False, False"
