Currency,Total Price,Base Price,Fee Amount,Grand Total Price,Additional fees,Fee Type
EUR,431.17,226.00,"['0.00', '0.00']",431.17,['90.00'],['CHECKED_BAGS']
EUR,434.28,267.00,"['0.00', '0.00']",434.28,['75.00'],['CHECKED_BAGS']
EUR,434.28,267.00,"['0.00', '0.00']",434.28,['75.00'],['CHECKED_BAGS']
EUR,439.66,267.00,"['0.00', '0.00']",439.66,['75.00'],['CHECKED_BAGS']
EUR,448.25,191.00,"['0.00', '0.00']",448.25,[],[]
EUR,448.25,191.00,"['0.00', '0.00']",448.25,[],[]
EUR,460.25,203.00,"['0.00', '0.00']",460.25,[],[]
EUR,460.25,203.00,"['0.00', '0.00']",460.25,[],[]
EUR,460.25,203.00,"['0.00', '0.00']",460.25,[],[]
EUR,460.25,203.00,"['0.00', '0.00']",460.25,[],[]
EUR,460.25,203.00,"['0.00', '0.00']",460.25,[],[]
EUR,460.25,203.00,"['0.00', '0.00']",460.25,[],[]
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,481.83,278.00,"['0.00', '0.00']",481.83,['90.00'],['CHECKED_BAGS']
EUR,481.83,278.00,"['0.00', '0.00']",481.83,['90.00'],['CHECKED_BAGS']
EUR,481.83,278.00,"['0.00', '0.00']",481.83,['90.00'],['CHECKED_BAGS']
EUR,483.17,278.00,"['0.00', '0.00']",483.17,['90.00'],['CHECKED_BAGS']
EUR,483.17,278.00,"['0.00', '0.00']",483.17,['90.00'],['CHECKED_BAGS']
EUR,491.20,266.00,"['0.00', '0.00']",491.20,[],[]
EUR,495.03,266.00,"['0.00', '0.00']",495.03,['65.00'],['CHECKED_BAGS']
EUR,495.03,266.00,"['0.00', '0.00']",495.03,['65.00'],['CHECKED_BAGS']
EUR,549.56,349.00,"['0.00', '0.00']",549.56,['75.00'],['CHECKED_BAGS']
EUR,549.56,349.00,"['0.00', '0.00']",549.56,['75.00'],['CHECKED_BAGS']
EUR,555.74,465.00,"['0.00', '0.00']",555.74,[],[]
EUR,629.56,429.00,"['0.00', '0.00']",629.56,['75.00'],['CHECKED_BAGS']
